puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,siàu,siàu,,,,account (of a transaction or purchase),,帳,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,kì-siàu,kì-siàu,,,,to keep books; to record accounts,,記帳,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,thó-siàu,thó-siàu,,,,to demand payment,,索帳、討帳,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siu-siàu,siu-siàu,,,,to collect a bill,,收帳,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siáu-soat,siáu-suat,,,,"fiction, a novel",,小說,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sím-mi̍h,sím-mi̍h,,,,What? any,,什麼,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sím-mi̍h lâng,sím-mi̍h lâng,,,,Who? anybody,,什麼人？誰,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sím-mi̍h khoán,sím-mi̍h khuán,,,,What kind?,,什麼樣子,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sím-mi̍h sî,sím-mi̍h sî,,,,When?,,什麼時候,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sím-mi̍h sî-chūn,sím-mi̍h sî-tsūn,,,,What time? When?,,什麼時候,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sím-mi̍h só͘-chāi,sím-mi̍h sóo-tsāi,,,,What place?,,什麼地方,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sim-sek,sim-sik,,,,"interesting, entertaining",,有趣,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sim,sim,,,,the heart,,心、心臟,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,tī sim-lāi,tī sim-lāi,,,,in or on one's mind,,在心中,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sim-koaⁿ,sim-kuann,,,,the heart,,心、心臟,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,pháiⁿ sim,pháinn sim,,,,ill-natured,,性情惡劣的,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,hó-sim,hó-sim,,,,kindhearted,,仁慈的,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,liông-sim,liông-sim,,,,conscience,,良心,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sim-pū,sim-pū,,,,daughter-in-law,,媳婦,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sím-phòaⁿ,sím-phuànn,,,,"judgment, to judge",,審判,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,kong-sím-phòaⁿ,kong-sím-phuànn,,,,the General Judgment,,公審判,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,su-sím-phòaⁿ,su-sím-phuànn,,,,The Particular Judgment,,私審判,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sîn-hū,sîn-hū,,,,"Priest, Father",,神父,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sîn,sîn,,,,"a spirit, a god",,神,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sîn-bûn,sîn-bûn,,,,newspaper,,新聞,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sìn,sìn,,,,to believe,,信,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,bê-sìn,bê-sìn,,,,superstitions; superstitious,,迷信,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sìn-iōng,sìn-iōng,,,,"reliable, trustworthy",,信用,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sìn-tek,sìn-tik,,,,virtue of faith,,信德,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sin-tek,sin-tik,,,,Sinchu (lit. New Bamboo),,新竹,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sin-niû,sin-niû,,,,bride,,新娘,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sin-kiáⁿ sài,sin-kiánn sài,,,,bridegroom,,新郎,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sin-lông sin-pū,sin-lông sin-pū,,,,bridegroom and bride (used in ceremony or table speech),,新郎新婦,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sin-súi,sin-suí,,,,salary,,薪水,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sîn-sèng,sîn-sìng,,,,"holy, sacred",,神聖,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sîn-bêng,sîn-bîng,,,,"pagan spirits, supernatural beings in general, false gods",,神明,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sîn-keng,sîn-king,,,,a nerve,,神經,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sîn-keng soe-jio̍k,sîn-king sue-jio̍k,,,,nervous exhaustion (debility),,神經衰弱,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sin-keng thiàⁿ,sin-king thiànn,,,,neuralgia,,神經痛,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
