puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,Chúi-chheⁿ tò-thâu kiâⁿ,Tsuí-tshenn tò-thâu kiânn,,水星倒頭行,,,,水星逆行,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,thún-ta̍h bîn-chú,thún-ta̍h bîn-tsú,,,,,,踐踏民主,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Góa kiōng-beh bē-hù--ah,Guá kiōng-beh bē-hù--ah,,我強欲袂赴矣,,,,我快要遲到了,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Góa teh-beh,Guá teh-beh,,我咧欲袂赴矣,,,,我快要遲到了,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,teh-boeh bē-hù,teh-bueh bē-hù,,我咧欲袂赴矣,,,,我快要遲到了,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,bōe-hù--ah,buē-hù--ah,,我咧欲袂赴矣,,,,我快要遲到了,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,au-bú,au-bú,,後母,,,,二媽,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chúi-chheⁿ ge̍k-hêng,tsuí-tshenn gi̍k-hîng,,水星逆行,,,,水逆,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chúi-chhiⁿ ge̍k-hêng,tsuí-tshinn gi̍k-hîng,,水星逆行,,,,水逆,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sāi-thái,sāi-thái,,撒體,,,,鬧彆扭,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tiàu-khò͘,tiàu-khòo,,吊褲,,,,吊帶褲,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tiān-sī-tâi,tiān-sī-tâi,,電視台,,,,電視台,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,khàu-pē-khàu-bú,khàu-pē-khàu-bú,,哭爸哭母,,,,靠夭,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,pó-kè-bōng,pó-kè-bōng,,寶價望,,,,寶可夢,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chúi-ah-chhia,tsuí-ah-tshia,,水鴨車,,,,水陸觀光車,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,án-chóaⁿ kóng,án-tsuánn kóng,,按怎講,,,,怎麼說,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,án-ná-kóng,án-ná-kóng,,按怎講,,,,怎麼說,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,liông-kut,liông-kut,,龍骨,,,,脊髓,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhit--á,tshit--á,,七仔,,,,7-11,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhè-siong,tshè-siong,,摖傷,,,,擦傷,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhòng siáⁿ,tshòng siánn,,創啥,,,,幹什麼,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kâu-thâu-kó,kâu-thâu-kó,,猴頭果,,,,奇異果,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sńg-chúi,sńg-tsuí,,耍水,,,,玩水,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tòng-làu-sái-io̍h,tòng-làu-sái-io̍h,,擋落屎藥,,,,止瀉劑,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Sîn-keng thiàⁿ,Sîn-king thiànn,,神經疼,,,,神經痛,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,o͘-sái,oo-sái,,烏屎,,,,黑便,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lí-lō͘,lí-lōo,,理路,,,,邏輯,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,khà-chhiú-ki-á,khà-tshiú-ki-á,,敲手機仔,,,,打手機,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Tò͘-tīn-te̍k-kong,Tòo-tīn-ti̍k-kong,,鬥陣特攻,,,,鬥陣特攻,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,mô͘-siū-cheng-pà,môo-siū-tsing-pà,,魔獸爭霸,,,,魔獸爭霸,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tông-sèng-loân,tông-sìng-luân,,同性戀,,,,同性戀,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,ba̍k-chiah-mn̂g-giap-á,ba̍k-tsiah-mn̂g-giap-á,,目睫毛鋏仔,,,,睫毛夾,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kóng chi̍t-ê pì-koat,kóng tsi̍t-ê pì-kuat,,講一个祕訣,,,,講個秘訣,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lâu-ōe,lâu-uē,,留話,,,,留言,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,bīn-chheh,bīn-tsheh,,面冊,,,,facebook,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lah-sap-ōe,lah-sap-uē,,垃圾話,,,,粗口,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,hah Hân,hah Hân,,哈韓,,,,哈韓,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,hah Ji̍t,hah Ji̍t,,哈日,,,,哈日,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,khóng-bêng-teng,khóng-bîng-ting,,孔明燈,,,,天燈,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,súi-tang-tang,suí-tang-tang,,媠噹噹,,,,漂亮,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,a-bêng,a-bîng,,阿明,,,,小明,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kāng-sèng-loân,kāng-sìng-luân,,仝性戀,,,,同性戀,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,phî-khá-chiù,phî-khá-tsiù,,皮巧啾,,,,皮卡丘,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lûn-pan-chheⁿ-jîn,lûn-pan-tshenn-jîn,,輪班星人,,,,輪班星人,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
