puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,Jī-káu-mê,Jī-káu-mê,,二九暝,,,,大年夜、除夕,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,Lī-káu-mî,Lī-káu-mî,,二九暝,,,,大年夜、除夕,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p-pat-tâu-á,si̍p-pat-tâu-á,,十八骰仔,,,,骰子,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-peh-piàn,tsa̍p-peh-piàn,,十八變,,,,十八變,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-poeh-piàn,tsa̍p-pueh-piàn,,十八變,,,,十八變,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-sia̍h,tshit-sia̍h,,七夕,,,,七夕、七月初七、誕辰,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,liáu-kang,liáu-kang,,了工,,,,白費工夫、枉費工夫、徒勞無功,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lâng-kang,lâng-kang,,人工,,,,人力、人工、工資,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lâng-châi,lâng-tsâi,,人才,,,,外表、儀容,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,ji̍p-thó͘,ji̍p-thóo,,入土,,,,入土、埋葬,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,li̍p-thó͘,li̍p-thóo,,入土,,,,入土、埋葬,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,thiau-kang,thiau-kang,,刁工,,,,存心、有意、刻意、故意、特地、專程,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-tiong,jîn-tiong,,人中,,,,人中,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-tiong,lîn-tiong,,人中,,,,人中,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-khóng,tshit-khóng,,七孔,,,,七孔、七竅,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,káu-kháng,káu-kháng,,九孔,,,,九孔,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jī-chhiú,jī-tshiú,,二手,,,,二手、中古、中古貨、助手、副手,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lī-chhiú,lī-tshiú,,二手,,,,二手、中古、中古貨、助手、副手,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,ji̍p-bo̍k,ji̍p-bo̍k,,入木,,,,入殮,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,li̍p-bo̍k,li̍p-bo̍k,,入木,,,,入殮,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat-sian,pat-sian,,八仙,,,,八仙,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,to-á,to-á,,刀仔,,,,小刀,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat-sian-toh,pat-sian-toh,,八仙桌,,,,八仙桌,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat-sian-chhái,pat-sian-tshái,,八仙綵,,,,八仙綵、彩幔,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,tiau-kó͘-tóng,tiau-kóo-tóng,,刁古董,,,,刁難、故意、為難、愚弄,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,liáu-pún,liáu-pún,,了本,,,,倒貼、貼錢、蝕本、賠本、虧本,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-bîn,jîn-bîn,,人民,,,,人民、公民、百姓、國民,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-bîn,lîn-bîn,,人民,,,,人民、公民、百姓、國民,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn-seng,jîn-sing,,人生,,,,人生,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn-seng,lîn-sing,,人生,,,,人生,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,to-chio̍h,to-tsio̍h,,刀石,,,,磨刀石,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,cha̍p-chn̂g,tsa̍p-tsn̂g,,十全,,,,十全、完全、完滿、齊全,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p-choân,si̍p-tsuân,,十全,,,,十全,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,peh-jī,peh-jī,,八字,,,,八字、生辰八字,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,poeh-lī,pueh-lī,,八字,,,,八字、生辰八字,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-jī-á,tshit-jī-á,,七字仔,,,,七字調,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-lī-á,tshit-lī-á,,七字仔,,,,七字調,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p-jī-kè,si̍p-jī-kè,,十字架,,,,十字架,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p-lī-kè,si̍p-lī-kè,,十字架,,,,十字架,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat-jī-kha,pat-jī-kha,,八字跤,,,,八字腳,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat-lī-kha,pat-lī-kha,,八字跤,,,,八字腳,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p-jī-lō͘,si̍p-jī-lōo,,十字路,,,,十字路,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,si̍p-lī-lō͘,si̍p-lī-lōo,,十字路,,,,十字路,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-chá-peh-chá,tshit-tsá-peh-tsá,,七早八早,,,,七早八早,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-chá-poeh-chá,tshit-tsá-pueh-tsá,,七早八早,,,,七早八早,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,ji̍p-ní,ji̍p-ní,,入耳,,,,入耳,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,li̍p-ní,li̍p-ní,,入耳,,,,入耳,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,to-bah,to-bah,,刀肉,,,,刀子主體,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-lāu-peh-lāu,tshit-lāu-peh-lāu,,七老八老,,,,七老八十,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit-lāu-poeh-lāu,tshit-lāu-pueh-lāu,,七老八老,,,,七老八十,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,liáu-bóe-á-kiáⁿ,liáu-bué-á-kiánn,,了尾仔囝,,,,敗家子,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,liáu-bé-á-kiáⁿ,liáu-bé-á-kiánn,,了尾仔囝,,,,敗家子,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,--jī-pō͘-chhit-á,--jī-pōo-tshit-á,,二步七仔,,,,才能、才幹、本事、本領、能力,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,--lī-pō͘-chhit-á,--lī-pōo-tshit-á,,二步七仔,,,,才能、才幹、本事、本領、能力,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,--nn̄g-pō͘-chhit-á,--nn̄g-pōo-tshit-á,,二步七仔,,,,才能、才幹、本事、本領、能力,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
