puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,ah-kha-hiuⁿ,ah-kha-hiunn,,,,"""duck-foot"" fern, Crypsinus hastatus",,金雞腳,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-kha-pê,ah-kha-pê,,,,"""duck-foot"" fern, Crypsinus hastatus",,金雞腳,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-kha-sek,ah-kha-sik,,,,"finger millet, raggee, Eleusine coracana",,鴨跖粟,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-kha-sóe,ah-kha-sué,,,,"finger millet, raggee, Eleusine coracana",,鴨跖粟,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-kha-sóe,ah-kha-sué,,,,"millet, Panicuns miliaceum",,鴨跖粟,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-khoán,ah-khuán,,,,"deposit, guarantee-money",,押款,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-môa-koe,ah-muâ-kue,,,,"common schefflera, Schefflera octophylla",,江某,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-nn̄g,ah-nn̄g,,,,duck egg,,鴨蛋,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-nn̄g-chhiⁿ,ah-nn̄g-tshinn,,,,pale blue (color),,淡青色,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-nn̄g-jîn,ah-nn̄g-jîn,,,,"Narcissus flycatcher, Muscicapa narcissina narcissina",,黃眉黃鶲,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-soah,ah-suah,,,,restrain,,抑制,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-tôe-chháu,ah-tuê-tsháu,,,,"""duck-foot"" fern, Crypsinus hastatus",,金雞腳,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-tôe-sóe,ah-tuê-sué,,,,"finger millet, raggee, Eleusine coracana",,鴨拓粟,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-thô-chu,ah-thô-tsu,,,,Phyllanthus niruri,,鴨土珠,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ah-ūn,ah-ūn,,,,"agree in rhyme, rhyme well",,押韻,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a̍h,a̍h,,,,"small box, case",,盒,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a̍h,a̍h,,,,"force to turn (as a flock of ducks, etc)",,趕,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai,ai,,,,"Alas! Oh! (grief, pain, distress)",,唉呀,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai,ai,,,,"scream, wail",,唉呀,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-ai-háu,ai-ai-háu,,,,"cry, wail",,唉呀,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-ai-kiò,ai-ai-kiò,,,,"cry, wail",,唉呀,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-chhám,ai-tshám,,,,"deeply distressed, grieved",,哀傷,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-chhan,ai-tshan,,,,groan,,呻吟,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-háu,ai-háu,,,,cry,,哀叫,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-ioh,ai-ioh,,,,"Ouch! Hey! (pain, surprise)",,唉,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-keng,ai-king,,,,"works of mercy, charitable actions",,善行,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-kiò,ai-kiò,,,,cry (in distress),,悲傷,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,Ai-ki̍p,Ai-ki̍p,,,,Egypt,,埃及,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-ki̍p-chhoe-mî-kài-khak-thâng,ai-ki̍p-tshue-mî-kài-khak-thâng,,,,"Egyptian cotton scale, Icerya aegyptiaca",,埃及吹棉介殼虫,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-kiû,ai-kiû,,,,"beseech, implore",,哀求,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-kiû,ai-kiû,,,,"supplication, entreaty",,哀求,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,Ai-ní-lân,Ai-ní-lân,,,,Ireland,,愛爾蘭,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-oàn,ai-uàn,,,,repine bitterly,,哀怨,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-oàn,ai-uàn,,,,"repining, dejection",,哀怨,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-oh,ai-oh,,,,Ah! Alas! (regret),,噯唷,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-siā,ai-siā,,,,(a means used to) express thanks to visitors attending a funeral,,(哀)謝,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-siong,ai-siong,,,,"sorrowful, mournful",,哀傷,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-sû,ai-sû,,,,"elegy, eulogy",,輓聯,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,Ai-tiân,Ai-tiân,,,,Eden,,伊甸園,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,ai-tiⁿ,ai-tinn,,,,somewhat sweet,,微甜,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
