puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
pùe,Pue 3-,,,貝,,Pearls; anything valuable and precious.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pùe,Pue 3-,,,珼,,Ornaments of tortoise shell; ornaments inlaid.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pùn,Pun 3-,,,糞,,Excrement; ordure; filth; manure; to manure.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pún,Pun 2,,,本,,The root; original; substance; principal; foundation; this; mine; own.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pún,Pun 2,,,畚,,A basket for carrying earth or manure.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pû,Pu -1,,,匏,,A kind of melon or pumpkin.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,145
pûaⁿ,Pⁿua -1,,,盤,,A tub-like vessel; a bathing tub; rice vessel; plate.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,146
pûe,Pue -1,,,賠,,To make up a deficiency or loss; to restore; repay.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,146
pûe,Pue -1,,,陪,,To accompany; attach to; assist; to second.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,146
pûi,Pui -1,,,肥,,Fleshy; fat; abundant; rich land; to fatten.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pûn,Pun -1,,,噴,,To blow or expel forcibly from the mouth.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pûn,Pun -1,,,分,,To divide; distribute; give.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,147
pāi,Pai 3,,,敗,,To subvert or be subverted; to break; spoil; ruin.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,135
