puj,puj_proofread,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
chí kiãⁿ sṳ̄ lâi mông-ûi kàu sêng,cí kĭaⁿ sṳ̄ lâi mông-ûi kàu sêng,cí kĭaⁿ sṳ̄ lâi mông-ûi kàu sêng,,,,,let us plan for this till it is accomplished.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
chiá chîⁿ sĩ uá kiau i thòi mông-ûi kâi,cía cîⁿ sĭ úa kio i thòi mông-ûi kâi,cía cîⁿ sĭ úa kio i thòi mông-ûi kâi,,,,,this money is some that I contrived to obtain for him.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông tshâi kù suah; mông tshâi hāi miāⁿ,mông châi kù suah; mông châi hāi mīaⁿ,mông châi kù suah; mông châi hāi mīaⁿ,,,,,murder for the sake of gain.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông suah,mông suah,mông suah,,,,,to plot murder.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
sĩ i tó tsò mông-tsú,sĭ i tó̤ cò̤ mông-cú,sĭ i tó̤ cò̤ mông-cú,,,,,he was the contriver of the plot.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
tī-tiâng tsú-mông?,tī-tîang cú-mông?,tī-tîang cú-mông?,,,,,Who contrived it?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
miâⁿ-ke kâi mông-sṳ̃,mîaⁿ-ke kâi mông-sṳ̆,mîaⁿ-ke kâi mông-sṳ̆,,,,,clever advisers.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
ũ ióng bô mông,ŭ íong bô̤ mông,ŭ íong bô̤ mông,,,,,has courage without cunning.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông seⁿ,mông seⁿ,mông seⁿ,,,,,contrive to get a living.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
chí kâi nâng sĩm ũ mông-lia̍k,cí kâi nâng sĭm ŭ mông-lîak,cí kâi nâng sĭm ŭ mông-lîak,,,,,this is a man of many devices.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông,mông,mông,,,蒙,,"Ignorant; to behave rather rudely; an affected term for thankful, grateful for favors; a pupil; a child.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
thông-mông,thông-mông,thông-mông,,,,,a lad.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông-kóu nâng,mông-kó nâng,mông-kó nâng,,,,,"Mongols, said to be an imitation of moengel, celestial.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
to mông lṳ́ àiⁿ-sieh,to̤ mông lṳ́ àiⁿ-sieh,to̤ mông lṳ́ àiⁿ-sieh,,,,,many thanks for your kindness.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông tshú,mông chú,mông chú,,,,,"am obliged to you for your custom, (a shopman's phrase).",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông-hũn,mông-hŭn,mông-hŭn,,,,,confused in mind.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông-mũeⁿ,mông-mŭeⁿ,mông-mŭeⁿ,,,,,ignorant; not enlightened.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông,mông,mông,,,濛,,Fine drizzling rain with fog.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
hõu mông-mông,hŏ mông-mông,hŏ mông-mông,,,,,misty rain.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
"kâi thiⁿ mông-mông, tsn̂g kâi sĩ hõu","kâi thiⁿ mông-mông, cn̂g kâi sĭ hŏ","kâi thiⁿ mông-mông, cn̂g kâi sĭ hŏ",,,,,the sky is thick with fine rain.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông,mông,mông,,,矇,,"Dim sighted; unable to see from age; indistinct vision, from disease of the nerve, as in amaurosis.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
ma̍k mông-mông,mâk mông-mông,mâk mông-mông,,,,,unable to perceive objects clearly.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
"tsùi-ngán mông-lông, thóiⁿ m̄ tiāⁿ","cùi-ngán mông-lông, thóiⁿ m̄ tīaⁿ","cùi-ngán mông-lông, thóiⁿ m̄ tīaⁿ",,,,,"seeing double, as through intoxication.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông,mông,mông,,,摸,,To feel for or after; to feel around.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông m̄ tie̍h,mông m̄ tîeh,mông m̄ tîeh,,,,,I cannot get hold of it.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
chhiú m̄ hó mông,chíu m̄ hó̤ mông,chíu m̄ hó̤ mông,,,,,do not lay hands on it.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
àiⁿ mông i kâi thâu khak chiũ sĩ,àiⁿ mông i kâi thâu khak cĭu sĭ,àiⁿ mông i kâi thâu khak cĭu sĭ,,,,,"he wants his head, that is it.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
"chē so-mông i, i tsū huaⁿ-hí","cē so̤-mông i, i cū huaⁿ-hí","cē so̤-mông i, i cū huaⁿ-hí",,,,,he is pleased when one strokes him.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông,mông,mông,,,礞,,,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mông-chie̍h,mông-cîeh,mông-cîeh,,,礞,,"a shaly bole, a micaceous schist of a fine quality prescribed in cases of derangement or fits.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
ēng mông-chie̍h lâi kún tiāu i kâi thâm,ēng mông-cîeh lâi kún tīo i kâi thâm,ēng mông-cîeh lâi kún tīo i kâi thâm,,,,,use this micaceous schist to break up the phlegm.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng,mŏng,mŏng,,,舞,,To flourish the limbs.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng kiàm,mŏng kìam,mŏng kìam,,,,,fencing.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng thûi,mŏng thûi,mŏng thûi,,,,,to brandish a mallet.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng to,mŏng to̤,mŏng to̤,,,,,to flourish a knife.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng thûi hue,mŏng thûi hue,mŏng thûi hue,,,,,to perform with a club.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng tîn-pâi,mŏng tîn-pâi,mŏng tîn-pâi,,,,,to fence with a shield.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
"kha ta̍h, chhiú mõng","kha tâh, chíu mŏng","kha tâh, chíu mŏng",,,,,to perform as a harlequin; to stamp the feet and flourish the hands.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng kàu he̍k,mŏng kàu hêk,mŏng kàu hêk,,,,,made postures until he was tired.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng,mŏng,mŏng,,,茂,,,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mõng-sẽng,mŏng-sĕng,mŏng-sĕng,,,茂,,luxuriant.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
chhiū-ba̍k mõng-sẽng,chīu-bâk mŏng-sĕng,chīu-bâk mŏng-sĕng,,,,,the shrubbery is thick and green.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
chí tsâng hue khui lâi mõng-sẽng tsãi,cí câng hue khui lâi mŏng-sĕng căi,cí câng hue khui lâi mŏng-sĕng căi,,,,,this plant is blossoming very luxuriantly.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
moⁿ,mo̤ⁿ,mo̤ⁿ,,,茅,,Ferns and wild grasses.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
tsháu-moⁿ,cháu-mo̤ⁿ,cháu-mo̤ⁿ,,,,,ferns.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
suaⁿ tèng seⁿ kâi moⁿ tsháu,suaⁿ tèng seⁿ kâi mo̤ⁿ cháu,suaⁿ tèng seⁿ kâi mo̤ⁿ cháu,,,,,the wild plants that grow on the mountains.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
chí khí moⁿ kiè tsò hõng-búe-moⁿ,cí khí mo̤ⁿ kìe cò̤ hŏng-búe-mo̤ⁿ,cí khí mo̤ⁿ kìe cò̤ hŏng-búe-mo̤ⁿ,,,,,this species of fern is called the phenix-tail.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
moⁿ,mo̤ⁿ,mo̤ⁿ,,,摩,,"To rub, pat or smooth with the hand.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
moⁿ-so kàu i huaⁿ-huaⁿ hí-hí,mo̤ⁿ-so̤ kàu i huaⁿ-huaⁿ hí-hí,mo̤ⁿ-so̤ kàu i huaⁿ-huaⁿ hí-hí,,,,,smooth him down till he is in good humour.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
miâⁿ-ke moⁿ-so nâng,mîaⁿ-ke mo̤ⁿ-so̤ nâng,mîaⁿ-ke mo̤ⁿ-so̤ nâng,,,,,has the art of molifying ill temper.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
khṳt i chē moⁿ-moⁿ so-so tsū hàuⁿ,khṳt i cē mo̤ⁿ-mo̤ⁿ so̤-so̤ cū hàuⁿ,khṳt i cē mo̤ⁿ-mo̤ⁿ so̤-so̤ cū hàuⁿ,,,,,when he has been conciliated sufficiently he will consent.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mó,mó̤,mó̤,,,孬,,"A contraction of m̄-hó̤, not good; badly; unsuitable; amis.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
hó a mó?,hó̤ a mó̤?,hó̤ a mó̤?,,,,,Is that expedient or not?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
i sĩ mó nâng,i sĭ mó̤ nâng,i sĭ mó̤ nâng,,,,,he is a bad man.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mó chièⁿ seⁿ tsò,mó̤ cìeⁿ seⁿ cò̤,mó̤ cìeⁿ seⁿ cò̤,,,,,it is not well to do thus.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
mó sńg,mó̤ sńg,mó̤ sńg,,,,,do not trifle.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,408
môⁿ,mô̤ⁿ,mô̤ⁿ,,,模,,A pattern; a model; a guide to go by.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
kui-môⁿ,kui-mô̤ⁿ,kui-mô̤ⁿ,,,,,a precedent; usages; rules.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ-iēⁿ,mô̤ⁿ-īeⁿ,mô̤ⁿ-īeⁿ,,,,,a pattern; a model.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
"i tsò-nî tsu bũ, tsn̂g kâi bô kui bô môⁿ?","i cò̤-nî cu bŭ, cn̂g kâi bô̤ kui bô̤ mô̤ⁿ?","i cò̤-nî cu bŭ, cn̂g kâi bô̤ kui bô̤ mô̤ⁿ?",,,,,"Why is it that in all sorts of affairs, he follows no rules nor precedents?",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ,mô̤ⁿ,mô̤ⁿ,,,毛,,The covering of animals or birds; hair; fur; feathers; down; the nap of felt.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
thâu-môⁿ,thâu-mô̤ⁿ,thâu-mô̤ⁿ,,,,,hair of the head.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
chiáu môⁿ,cío mô̤ⁿ,cío mô̤ⁿ,,,,,the feathers of birds.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
iêⁿ-môⁿ,îeⁿ-mô̤ⁿ,îeⁿ-mô̤ⁿ,,,,,wool.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
tṳ tsang môⁿ,tṳ cang mô̤ⁿ,tṳ cang mô̤ⁿ,,,,,the bristles of swine.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
khóu môⁿ,khó mô̤ⁿ,khó mô̤ⁿ,,,,,fine hairs on the skin.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
thâu-môⁿ-kiáⁿ,thâu-mô̤ⁿ-kíaⁿ,thâu-mô̤ⁿ-kíaⁿ,,,,,short soft hairs on the head.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
"seⁿ-môⁿ, seⁿ-môⁿ","seⁿ-mô̤ⁿ, seⁿ-mô̤ⁿ","seⁿ-mô̤ⁿ, seⁿ-mô̤ⁿ",,,,,hairy.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
tṳ-kha-môⁿ kueh m̄ chheng-khih,tṳ-kha-mô̤ⁿ kueh m̄ cheng-khih,tṳ-kha-mô̤ⁿ kueh m̄ cheng-khih,,,,,the bristles on the pigs' feet have not all been scraped off.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
chhiu môⁿ pìn pe̍h,chiu mô̤ⁿ pìn pêh,chiu mô̤ⁿ pìn pêh,,,,,hoary hair and beard.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
būe huat môⁿ,būe hwt mô̤ⁿ,būe hwt mô̤ⁿ,,,,,unfledged.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
tho môⁿ,tho̤ mô̤ⁿ,tho̤ mô̤ⁿ,,,,,the hair that he had at birth,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ khek,mô̤ⁿ khek,mô̤ⁿ khek,,,,,has curly hair.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ zông-zông,mô̤ⁿ jông-jông,mô̤ⁿ jông-jông,,,,,downy feathers; fluffy hair.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ tshou tiâu,mô̤ⁿ cho tîo,mô̤ⁿ cho tîo,,,,,the hair is coarse.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ zṳ̂-zṳ̂,mô̤ⁿ jṳ̂-jṳ̂,mô̤ⁿ jṳ̂-jṳ̂,,,,,hair unkempt.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ iáu ngẽ,mô̤ⁿ ío ngĕ,mô̤ⁿ ío ngĕ,,,,,stiff bristles.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
"thâu-khak kng-ku̍t, bô môⁿ","thâu-khak kng-kût, bô̤ mô̤ⁿ","thâu-khak kng-kût, bô̤ mô̤ⁿ",,,,,the head quite bald and shiny.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ iùⁿ-tiâu iùⁿ-tiâu,mô̤ⁿ ìuⁿ-tîo ìuⁿ-tîo,mô̤ⁿ ìuⁿ-tîo ìuⁿ-tîo,,,,,very fine soft hair.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ lua̍h kàu kng-kng,mô̤ⁿ lûah kàu kng-kng,mô̤ⁿ lûah kàu kng-kng,,,,,stroke your hair very smooth.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ iām-iām,mô̤ⁿ īam-īam,mô̤ⁿ īam-īam,,,,,hair sleek and glossy.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ-tsháu ngiá,mô̤ⁿ-cháu ngía,mô̤ⁿ-cháu ngía,,,,,beautiful thick fur.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
"i chêng lâu môⁿ, tá tsang a būe?","i cêng lâu mô̤ⁿ, tá cang a būe?","i cêng lâu mô̤ⁿ, tá cang a būe?",,,,,"Has she let her hair grow long, and done it up in the style of a grown woman yet?",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
siu thâu-môⁿ,siu thâu-mô̤ⁿ,siu thâu-mô̤ⁿ,,,,,comb the hair.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ kńg tshng,mô̤ⁿ kńg chng,mô̤ⁿ kńg chng,,,,,hair-glands in the flesh.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
i bô môⁿ tsū khṳ̀ ké tsáng,i bô̤ mô̤ⁿ cū khṳ̀ ké cáng,i bô̤ mô̤ⁿ cū khṳ̀ ké cáng,,,,,"having no hair, he put on a false queue.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ tsa̍k-tsa̍k,mô̤ⁿ câk-câk,mô̤ⁿ câk-câk,,,,,"thick hair, or fur.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
gô môⁿ kńg,gô̤ mô̤ⁿ kńg,gô̤ mô̤ⁿ kńg,,,,,a goose quill.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
chìⁿ môⁿ,cìⁿ mô̤ⁿ,cìⁿ mô̤ⁿ,,,,,the feather of an arrow.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
koi-môⁿ tshóiⁿ,koi-mô̤ⁿ chóiⁿ,koi-mô̤ⁿ chóiⁿ,,,,,a feather broom.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
ah môⁿ sìⁿ,ah mô̤ⁿ sìⁿ,ah mô̤ⁿ sìⁿ,,,,,a fan made of ducks' feathers.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ,mô̤ⁿ,mô̤ⁿ,,,魔,,A malignant spirit; a devil.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
môⁿ-kúi,mô̤ⁿ-kúi,mô̤ⁿ-kúi,,,,,an evil spirit.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
iau-môⁿ,io-mô̤ⁿ,io-mô̤ⁿ,,,,,a sprite; a spook.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
kiau huang-môⁿ sàu-sîn hièⁿ-seⁿ,kio huang-mô̤ⁿ sàu-sîn hìeⁿ-seⁿ,kio huang-mô̤ⁿ sàu-sîn hìeⁿ-seⁿ,,,,,like a witch.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mõⁿ,mŏ̤ⁿ,mŏ̤ⁿ,,,募,,To call upon the people to do.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mõⁿ piaⁿ,mŏ̤ⁿ piaⁿ,mŏ̤ⁿ piaⁿ,,,,,to raise troops.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mõⁿ ióng,mŏ̤ⁿ íong,mŏ̤ⁿ íong,,,,,enlist volunteers.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mõⁿ hùe,mŏ̤ⁿ hùe,mŏ̤ⁿ hùe,,,,,to circulate a subscription paper.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mõⁿ,mŏ̤ⁿ,mŏ̤ⁿ,,,幕,,A screen; a secretary.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
tièⁿ-mõⁿ,tìeⁿ-mŏ̤ⁿ,tìeⁿ-mŏ̤ⁿ,,,,,a curtain.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
tsò mõⁿ,cò̤ mŏ̤ⁿ,cò̤ mŏ̤ⁿ,,,,,act as clerk.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
tõ tsóng-tok kò tng mõⁿ,tŏ̤ cóng-tok kò̤ tng mŏ̤ⁿ,tŏ̤ cóng-tok kò̤ tng mŏ̤ⁿ,,,,,he is a clerk in the viceroyalty.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
"mõⁿ-iú, mõⁿ-pin","mŏ̤ⁿ-íu, mŏ̤ⁿ-pin","mŏ̤ⁿ-íu, mŏ̤ⁿ-pin",,,,,a private secretary.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mõⁿ,mŏ̤ⁿ,mŏ̤ⁿ,,,暮,,The decline of life.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
nî-tsong sùe-mõⁿ kâi sî-hāu,nî-cong sùe-mŏ̤ⁿ kâi sî-hāu,nî-cong sùe-mŏ̤ⁿ kâi sî-hāu,,,,,when in the decline of life.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mõⁿ,mŏ̤ⁿ,mŏ̤ⁿ,,,墓,,A burial spot; a tomb.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
phûn-mõⁿ,phûn-mŏ̤ⁿ,phûn-mŏ̤ⁿ,,,,,a grave.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
sàu mõⁿ,sàu mŏ̤ⁿ,sàu mŏ̤ⁿ,,,,,"to sweep the tombs, at the spring worship.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mõⁿ,mŏ̤ⁿ,mŏ̤ⁿ,,,慕,,To look upon with affection.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
ngiâng-mõⁿ,ngîang-mŏ̤ⁿ,ngîang-mŏ̤ⁿ,,,,,to regard with affectionate respect.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
sṳ-mõⁿ tie̍h pẽ-bó,sṳ-mŏ̤ⁿ tîeh pĕ-bó̤,sṳ-mŏ̤ⁿ tîeh pĕ-bó̤,,,,,fond of one's parents.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mōⁿ,mō̤ⁿ,mō̤ⁿ,,,望,,Hope; expect; look for.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
hi-mōⁿ,hi-mō̤ⁿ,hi-mō̤ⁿ,,,,,hope.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
phàng-mōⁿ,phàng-mō̤ⁿ,phàng-mō̤ⁿ,,,,,expectation.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
sit mōⁿ,sit mō̤ⁿ,sit mō̤ⁿ,,,,,lose hope.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
bô mōⁿ,bô̤ mō̤ⁿ,bô̤ mō̤ⁿ,,,,,hopeless.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
bô só mōⁿ,bô̤ só̤ mō̤ⁿ,bô̤ só̤ mō̤ⁿ,,,,,nothing to hope for.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
tso̍h mōⁿ,cô̤h mō̤ⁿ,cô̤h mō̤ⁿ,,,,,cut off hope.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
ũ mōⁿ,ŭ mō̤ⁿ,ŭ mō̤ⁿ,,,,,entertains a hope.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mōⁿ kú liáu,mō̤ⁿ kú lío,mō̤ⁿ kú lío,,,,,long hoped for.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
tsn̂g kâi bô hó mōⁿ,cn̂g kâi bô̤ hó̤ mō̤ⁿ,cn̂g kâi bô̤ hó̤ mō̤ⁿ,,,,,without the least hope.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
hí tshut mōⁿ gūa,hí chut mō̤ⁿ gūa,hí chut mō̤ⁿ gūa,,,,,joy beyond all expectation.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
uá tó mōⁿ lṳ́ lâi,úa tó̤ mō̤ⁿ lṳ́ lâi,úa tó̤ mō̤ⁿ lṳ́ lâi,,,,,I was hoping that you would come.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mōⁿ kàu ãm tn̂g-tn̂g,mō̤ⁿ kàu ăm tn̂g-tn̂g,mō̤ⁿ kàu ăm tn̂g-tn̂g,,,,,looking with neck outstretched.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mōⁿ chí mōⁿ hṳ́,mō̤ⁿ cí mō̤ⁿ hṳ́,mō̤ⁿ cí mō̤ⁿ hṳ́,,,,,gazing hither and thither.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
"jīm mōⁿ, mōⁿ m̄ chheng-tshó","jīm mō̤ⁿ, mō̤ⁿ m̄ cheng-chó̤","jīm mō̤ⁿ, mō̤ⁿ m̄ cheng-chó̤",,,,,gazed long and vainly.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
mōⁿ tie̍h kṳ̃n-kṳ̃n,mō̤ⁿ tîeh kṳ̆n-kṳ̆n,mō̤ⁿ tîeh kṳ̆n-kṳ̆n,,,,,looked and saw it close by.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
che̍k mōⁿ bô chì,cêk mō̤ⁿ bô̤ cì,cêk mō̤ⁿ bô̤ cì,,,,,a boundless view.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,409
